Estado,Materia,Inspección ,Operativo
Aguascalientes,Recursos marinos,0,0
Baja California,Recursos marinos,2,13
Baja California Sur,Recursos marinos,20,21
Campeche,Recursos marinos,6,2
Chiapas,Recursos marinos,2,1
Chihuahua,Recursos marinos,0,0
Coahuila,Recursos marinos,0,0
Colima,Recursos marinos,3,6
Durango,Recursos marinos,0,0
Guanajuato,Recursos marinos,0,0
Guerrero,Recursos marinos,0,2
Hidalgo,Recursos marinos,0,0
Jalisco,Recursos marinos,5,0
México,Recursos marinos,0,0
Michoacán,Recursos marinos,0,0
Morelos,Recursos marinos,0,0
Nayarit,Recursos marinos,0,0
Nuevo León,Recursos marinos,0,0
Oaxaca,Recursos marinos,0,12
Puebla,Recursos marinos,0,0
Querétaro,Recursos marinos,0,0
Quintana Roo,Recursos marinos,3,11
San Luis Potosí,Recursos marinos,0,0
Sinaloa,Recursos marinos,4,6
Sonora,Recursos marinos,1,16
Tabasco,Recursos marinos,0,0
Tamaulipas,Recursos marinos,7,1
Tlaxcala,Recursos marinos,0,0
Veracruz,Recursos marinos,7,5
Yucatán,Recursos marinos,3,0
Zacatecas,Recursos marinos,0,0
Zona Metropolitana del Valle de México,Recursos marinos,0,0
Oficinas Centrales,Recursos marinos,3,2
Aguascalientes,Vida silvestre,18,5
Baja California,Vida silvestre,16,13
Baja California Sur,Vida silvestre,12,7
Campeche,Vida silvestre,24,10
Chiapas,Vida silvestre,23,8
Chihuahua,Vida silvestre,21,4
Coahuila,Vida silvestre,13,0
Colima,Vida silvestre,10,3
Durango,Vida silvestre,12,6
Guanajuato,Vida silvestre,27,5
Guerrero,Vida silvestre,9,0
Hidalgo,Vida silvestre,26,3
Jalisco,Vida silvestre,16,7
México,Vida silvestre,27,8
Michoacán,Vida silvestre,29,0
Morelos,Vida silvestre,29,6
Nayarit,Vida silvestre,14,15
Nuevo León,Vida silvestre,21,8
Oaxaca,Vida silvestre,35,7
Puebla,Vida silvestre,20,6
Querétaro,Vida silvestre,13,6
Quintana Roo,Vida silvestre,15,5
San Luis Potosí,Vida silvestre,41,2
Sinaloa,Vida silvestre,16,9
Sonora,Vida silvestre,19,14
Tabasco,Vida silvestre,26,9
Tamaulipas,Vida silvestre,11,4
Tlaxcala,Vida silvestre,5,3
Veracruz,Vida silvestre,28,10
Yucatán,Vida silvestre,55,16
Zacatecas,Vida silvestre,31,5
Zona Metropolitana del Valle de México,Vida silvestre,299,10
Oficinas Centrales,Vida silvestre,30,1
